,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
241,RV,<,NR,Duke,ACC,3-1,18,RV,W 34-20 H #20 Georgia Tech,Week 4Sep 27[5],2015,0.0,
242,RV,<,NR,Temple,AAC,3-0,17,RV,DNP,Week 4Sep 27[5],2015,0.0,
243,RV,<,NR,Miami (FL),ACC,3-0,14,RV,DNP,Week 4Sep 27[5],2015,0.0,
244,RV,<,NR,Kansas State,Big 12,3-0,12,RV,DNP,Week 4Sep 27[5],2015,0.0,
245,RV,<,NR,Memphis,AAC,4-0,11,RV,W 53-46 H Cincinnati,Week 4Sep 27[5],2015,0.0,
246,RV,<,NR,NC State,ACC,4-0,10,RV,W 63-13 A South Alabama,Week 4Sep 27[5],2015,0.0,
247,RV,<,NR,Navy,AAC,3-0,9,RV,W 28-18 A Connecticut,Week 4Sep 27[5],2015,0.0,
248,RV,<,22,BYU,Ind,2-2,5,RV,L 31-0 A Michigan,Week 4Sep 27[5],2015,-7.0,
249,RV,<,NR,Minnesota,Big Ten,3-1,5,RV,W 27-24 H Ohio,Week 4Sep 27[5],2015,0.0,
250,RV,<,NR,Tennessee,SEC,2-2,4,RV,L 28-27 A Florida,Week 4Sep 27[5],2015,0.0,
251,NR,<,20,Georgia Tech,ACC,2-2,0,RV,L 34-20 A Duke,Week 4Sep 27[5],2015,-12.0,
252,NR,<,25,Missouri,SEC,3-1,0,RV,L 21-13 A Kentucky,Week 4Sep 27[5],2015,-4.0,
253,NR,<,NR,Arizona State,Pac-12,2-2,0,NR,L 42-14 H #19 USC,Week 4Sep 27[5],2015,0.0,
254,NR,<,NR,Arkansas,SEC,1-3,0,NR,L 28-21 (1OT) N #14 Texas A&M (Southwest Classic),Week 4Sep 27[5],2015,0.0,
255,NR,<,NR,Auburn,SEC,2-2,0,RV,L 17-9 H Mississippi State,Week 4Sep 27[5],2015,-8.0,
256,NR,<,NR,Illinois,Big Ten,3-1,0,RV,W 27-25 H Middle Tennessee,Week 4Sep 27[5],2015,0.0,
257,NR,<,NR,Indiana,Big Ten,4-0,0,RV,W 31-24 A Wake Forest,Week 4Sep 27[5],2015,0.0,
258,NR,<,NR,Kentucky,SEC,3-1,0,RV,W 21-13 H #25 Missouri,Week 4Sep 27[5],2015,0.0,
259,NR,<,NR,Penn State,Big Ten,3-1,0,NR,W 37-21 H San Diego State,Week 4Sep 27[5],2015,0.0,
260,NR,<,NR,Texas,Big 12,1-3,0,NR,L 30-27 H #24 Oklahoma State,Week 4Sep 27[5],2015,0.0,
261,1,<,1,Ohio State (38),Big Ten,5-0,1444,1,W 34-27 A Indiana,Week 5Oct 4[6],2015,0.0,
262,2,<,4,TCU (5),Big 12,5-0,1371,2,W 50-7 H Texas,Week 5Oct 4[6],2015,1.0,
263,3,<,5,Baylor (10),Big 12,4-0,1364,4,W 63-35 N Texas Tech,Week 5Oct 4[6],2015,2.0,
264,4,<,2,Michigan State,Big Ten,5-0,1291,3,W 24-21 H Purdue,Week 5Oct 4[6],2015,-2.0,
265,5,<,10,Utah (7),Pac-12,4-0,1254,7,DNP,Week 5Oct 4[6],2015,13.0,
266,6,<,12,Clemson,ACC,4-0,1217,6,W 24-22 H #6 Notre Dame,Week 5Oct 4[6],2015,5.0,
267,7,<,9,LSU,SEC,4-0,1212,5,W 44-22 H Eastern Michigan,Week 5Oct 4[6],2015,1.0,
268,8,<,13,Alabama,SEC,4-1,1026,10,W 38-10 A #8 Georgia,Week 5Oct 4[6],2015,4.0,
269,9,<,14,Texas A&M (1),SEC,5-0,1009,11,W 30-17 H #21 Mississippi State,Week 5Oct 4[6],2015,5.0,
270,10,<,15,Oklahoma,Big 12,4-0,976,9,W 44-24 H #23 West Virginia,Week 5Oct 4[6],2015,5.0,
271,11,<,25,Florida,SEC,5-0,935,12,W 38-10 H #3 Mississippi,Week 5Oct 4[6],2015,15.0,
272,12,<,11,Florida State,ACC,4-0,922,8,W 24-16 A Wake Forest,Week 5Oct 4[6],2015,-2.0,
273,13,<,16,Northwestern,Big Ten,5-0,753,14,W 27-0 H Minnesota,Week 5Oct 4[6],2015,4.0,
274,14,<,3,Mississippi,SEC,4-1,731,13,L 38-10 A #25 Florida,Week 5Oct 4[6],2015,-11.0,
275,15,<,6,Notre Dame,Ind,4-1,721,15,L 24-22 A #12 Clemson,Week 5Oct 4[6],2015,-9.0,
276,16,<,18,Stanford,Pac-12,4-1,617,18,W 55-17 H Arizona,Week 5Oct 4[6],2015,5.0,
277,17,<,17,USC,Pac-12,3-1,498,17,DNP,Week 5Oct 4[6],2015,2.0,
278,18,<,22,Michigan,Big Ten,4-1,452,21,W 28-0 A Maryland,Week 5Oct 4[6],2015,8.0,
279,19,<,8,Georgia,SEC,4-1,441,16,L 38-10 H #13 Alabama,Week 5Oct 4[6],2015,-12.0,
280,20,<,7,UCLA,Pac-12,4-1,415,20,L 38-23 H Arizona State,Week 5Oct 4[6],2015,-11.0,
281,21,<,20,Oklahoma State,Big 12,5-0,332,19,W 36-34 H Kansas State,Week 5Oct 4[6],2015,3.0,
282,22,<,NR,Iowa,Big Ten,5-0,254,23,W 10-6 A #19 Wisconsin,Week 5Oct 4[6],2015,4.0,
283,23,<,24,California,Pac-12,5-0,233,22,W 34-28 H Washington State,Week 5Oct 4[6],2015,3.0,
284,24,<,NR,Toledo,MAC,4-0,87,RV,W 24-10 A Ball State,Week 5Oct 4[6],2015,2.0,
285,25,<,NR,Boise State,MWC,4-1,65,24,W 55-0 H Hawaii,Week 5Oct 4[6],2015,1.0,
286,RV,<,NR,Oregon,Pac-12,3-2,39,RV,W 41-24 A Colorado,Week 5Oct 4[6],2015,-13.0,
287,RV,<,NR,Duke,ACC,4-1,31,RV,W 9-7 H Boston College,Week 5Oct 4[6],2015,0.0,
288,RV,<,NR,Houston,AAC,4-0,31,RV,W 38-24 A Tulsa,Week 5Oct 4[6],2015,0.0,
289,RV,<,NR,Temple,AAC,4-0,23,RV,W 37-3 A Charlotte,Week 5Oct 4[6],2015,0.0,
290,RV,<,NR,Memphis,AAC,5-0,19,25,W 24-17 A South Florida,Week 5Oct 4[6],2015,0.0,
291,RV,<,NR,Navy,AAC,4-0,19,RV,W 33-11 H Air Force,Week 5Oct 4[6],2015,0.0,
292,RV,<,NR,Arizona State,Pac-12,3-2,15,RV,W 38-23 A #7 UCLA,Week 5Oct 4[6],2015,0.0,
293,RV,<,21,Mississippi State,SEC,3-2,11,RV,L 30-17 A #14 Texas A&M,Week 5Oct 4[6],2015,0.0,
294,RV,<,23,West Virginia,Big 12,3-1,8,RV,L 44-24 A #15 Oklahoma,Week 5Oct 4[6],2015,0.0,
295,RV,<,NR,Texas Tech,Big 12,3-2,4,NR,L 63-35 N #5 Baylor,Week 5Oct 4[6],2015,0.0,
296,RV,<,NR,BYU,Ind,3-2,3,NR,W 30-13 H Connecticut,Week 5Oct 4[6],2015,-4.0,
297,RV,<,NR,Kansas State,Big 12,3-1,1,RV,L 36-34 A #20 Oklahoma State,Week 5Oct 4[6],2015,0.0,
298,RV,<,NR,Missouri,SEC,4-1,1,RV,W 24-10 H South Carolina,Week 5Oct 4[6],2015,-1.0,
299,NR,<,19,Wisconsin,Big Ten,3-2,0,RV,L 10-6 H Iowa,Week 5Oct 4[6],2015,-4.0,
300,NR,<,NR,Arizona,Pac-12,3-2,0,RV,L 55-17 A #18 Stanford,Week 5Oct 4[6],2015,-10.0,
301,NR,<,NR,Arkansas,SEC,2-3,0,NR,W 24-20 A Tennessee,Week 5Oct 4[6],2015,0.0,
302,NR,<,NR,Boston College,ACC,3-2,0,NR,L 9-7 A Duke,Week 5Oct 4[6],2015,0.0,
303,NR,<,NR,Georgia Tech,ACC,2-3,0,NR,L 38-31 H North Carolina,Week 5Oct 4[6],2015,0.0,
304,NR,<,NR,Illinois,Big Ten,4-1,0,RV,W 14-13 H Nebraska,Week 5Oct 4[6],2015,0.0,
305,NR,<,NR,Indiana,Big Ten,4-1,0,RV,L 34-27 H #1 Ohio State,Week 5Oct 4[6],2015,0.0,
306,NR,<,NR,Kentucky,SEC,4-1,0,RV,W 34-27 (1OT) H Eastern Kentucky,Week 5Oct 4[6],2015,0.0,
307,NR,<,NR,Louisville,ACC,2-3,0,NR,W 20-13 A NC State,Week 5Oct 4[6],2015,0.0,
308,NR,<,NR,Minnesota,Big Ten,3-2,0,NR,L 27-0 A #16 Northwestern,Week 5Oct 4[6],2015,0.0,
309,NR,<,NR,North Carolina,ACC,4-1,0,RV,W 38-31 A Georgia Tech,Week 5Oct 4[6],2015,0.0,
310,NR,<,NR,Penn State,Big Ten,4-1,0,NR,W 20-14 H Army,Week 5Oct 4[6],2015,0.0,
311,NR,<,NR,Tennessee,SEC,2-3,0,NR,L 24-20 H Arkansas,Week 5Oct 4[6],2015,0.0,
312,1,<,1,Ohio State (27),Big Ten,6-0,1411,*1,W 49-28 H Maryland,Week 6Oct 11[7],2015,0.0,
313,2,<,3,Baylor (13),Big 12,5-0,1390,*2,W 66-7 A Kansas,Week 6Oct 11[7],2015,3.0,
314,3,<,2,TCU (3),Big 12,6-0,1354,*3,W 52-45 A Kansas State,Week 6Oct 11[7],2015,1.0,
315,4,<,5,Utah (16),Pac-12,5-0,1350,*7,W 30-24 H #23 California,Week 6Oct 11[7],2015,6.0,
316,5,<,6,Clemson (1),ACC,5-0,1260,6,W 43-24 H Georgia Tech,Week 6Oct 11[7],2015,7.0,
317,6,<,7,LSU,SEC,5-0,1231,*5,W 45-24 A South Carolina (Baton Rouge),Week 6Oct 11[7],2015,3.0,
318,7,<,4,Michigan State,Big Ten,6-0,1139,*4,W 31-24 A Rutgers,Week 6Oct 11[7],2015,-5.0,
319,8,<,11,Florida,SEC,6-0,1075,11,W 21-3 A Missouri,Week 6Oct 11[7],2015,17.0,
320,9,<,9,Texas A&M (1),SEC,5-0,1046,10,DNP,Week 6Oct 11[7],2015,5.0,
321,10,<,8,Alabama,SEC,5-1,1034,9,W 27-14 H Arkansas,Week 6Oct 11[7],2015,3.0,
322,11,<,12,Florida State,ACC,5-0,937,8,W 29-24 H Miami (FL),Week 6Oct 11[7],2015,0.0,
323,12,<,18,Michigan,Big Ten,5-1,894,14,W 38-0 H #13 Northwestern,Week 6Oct 11[7],2015,10.0,
324,13,<,14,Mississippi,SEC,5-1,803,12,W 52-3 H New Mexico State,Week 6Oct 11[7],2015,-10.0,
325,14,<,15,Notre Dame,Ind,5-1,766,13,W 41-24 H Navy,Week 6Oct 11[7],2015,-8.0,
326,15,<,16,Stanford,Pac-12,4-1,662,16,DNP,Week 6Oct 11[7],2015,3.0,
327,16,<,21,Oklahoma State,Big 12,6-0,614,15,W 33-26 (1OT) A West Virginia,Week 6Oct 11[7],2015,4.0,
328,17,<,22,Iowa,Big Ten,6-0,520,17,W 29-20 H Illinois,Week 6Oct 11[7],2015,9.0,
329,18,<,20,UCLA,Pac-12,4-1,487,18,DNP,Week 6Oct 11[7],2015,-11.0,
330,19,<,10,Oklahoma,Big 12,4-1,342,19,L 24-17 N Texas,Week 6Oct 11[7],2015,-4.0,
331,20,<,13,Northwestern,Big Ten,5-1,317,21,L 38-0 A #18 Michigan,Week 6Oct 11[7],2015,-4.0,
332,21,<,25,Boise State,MWC,5-1,260,20,W 41-10 A Colorado State,Week 6Oct 11[7],2015,5.0,
333,22,<,24,Toledo,MAC,5-0,237,25,W 38-7 H Kent State,Week 6Oct 11[7],2015,4.0,
334,23,<,23,California,Pac-12,5-1,204,23,L 30-24 A #5 Utah,Week 6Oct 11[7],2015,1.0,
335,24,<,NR,Houston,AAC,5-0,121,RV,W 49-28 H SMU,Week 6Oct 11[7],2015,2.0,
336,25,<,NR,Duke,ACC,5-1,114,24,W 44-3 A Army,Week 6Oct 11[7],2015,1.0,
337,RV,<,NR,Temple,AAC,5-0,96,RV,W 49-10 H Tulane,Week 6Oct 11[7],2015,0.0,
338,RV,<,NR,Memphis,AAC,5-0,59,22,DNP,Week 6Oct 11[7],2015,0.0,
339,RV,<,NR,Arizona State,Pac-12,4-2,27,RV,W 48-23 H Colorado,Week 6Oct 11[7],2015,0.0,
340,RV,<,NR,Mississippi State,SEC,4-2,19,RV,W 45-17 H Troy,Week 6Oct 11[7],2015,-5.0,
341,RV,<,19,Georgia,SEC,4-2,16,RV,L 38-31 A Tennessee,Week 6Oct 11[7],2015,-18.0,
342,RV,<,NR,Texas Tech,Big 12,4-2,10,RV,W 66-31 H Iowa State,Week 6Oct 11[7],2015,0.0,
343,RV,<,NR,BYU,Ind,4-2,8,NR,W 45-38 H East Carolina,Week 6Oct 11[7],2015,0.0,
344,RV,<,17,USC,Pac-12,3-2,5,RV,L 17-12 H Washington,Week 6Oct 11[7],2015,-9.0,
345,RV,<,NR,Western Kentucky,CUSA,5-1,5,NR,W 58-28 H Middle Tennessee,Week 6Oct 11[7],2015,0.0,
346,RV,<,NR,Kentucky,SEC,4-1,4,RV,DNP,Week 6Oct 11[7],2015,0.0,
347,RV,<,NR,Penn State,Big Ten,5-1,4,RV,W 29-7 H Indiana,Week 6Oct 11[7],2015,0.0,
348,RV,<,NR,Navy,AAC,4-1,3,RV,L 41-24 A #15 Notre Dame,Week 6Oct 11[7],2015,0.0,
349,RV,<,NR,North Carolina,ACC,4-1,1,RV,DNP,Week 6Oct 11[7],2015,0.0,
350,NR,<,NR,Arizona,Pac-12,4-2,0,RV,W 44-7 H Oregon State,Week 6Oct 11[7],2015,0.0,
351,NR,<,NR,Arkansas,SEC,2-4,0,NR,L 27-14 A #8 Alabama,Week 6Oct 11[7],2015,0.0,
352,NR,<,NR,Georgia Tech,ACC,2-4,0,NR,L 43-24 A #6 Clemson,Week 6Oct 11[7],2015,0.0,
353,NR,<,NR,Illinois,Big Ten,4-2,0,RV,L 29-20 A #22 Iowa,Week 6Oct 11[7],2015,0.0,
354,NR,<,NR,Kansas State,Big 12,3-2,0,RV,L 52-45 H #2 TCU,Week 6Oct 11[7],2015,0.0,
355,NR,<,NR,Oregon,Pac-12,3-3,0,NR,L 45-38 (2OT) H Washington State,Week 6Oct 11[7],2015,0.0,
356,NR,<,NR,Tennessee,SEC,3-3,0,RV,W 38-31 H #19 Georgia,Week 6Oct 11[7],2015,0.0,
357,NR,<,NR,Texas,Big 12,2-4,0,RV,W 24-17 N #10 Oklahoma,Week 6Oct 11[7],2015,0.0,
358,NR,<,NR,Washington,Pac-12,3-2,0,RV,W 17-12 A #17 USC,Week 6Oct 11[7],2015,0.0,
359,NR,<,NR,West Virginia,Big 12,3-2,0,RV,L 33-26 (1OT) H #21 Oklahoma State,Week 6Oct 11[7],2015,-3.0,
360,NR,<,NR,Wisconsin,Big Ten,4-2,0,RV,W 23-21 A Nebraska,Week 6Oct 11[7],2015,-7.0,
361,1,<,1,Ohio State (28),Big Ten,7-0,1428,*1,W 38-10 H Penn State,Week 7Oct 18[8],2015,0.0,
362,2,<,2,Baylor (12),Big 12,6-0,1416,*2,W 62-38 H West Virginia,Week 7Oct 18[8],2015,1.0,
363,3,<,4,Utah (16),Pac-12,6-0,1362,*7,W 34-18 H Arizona State,Week 7Oct 18[8],2015,2.0,
364,4,<,3,TCU (3),Big 12,7-0,1338,*3,W 45-21 A Iowa State,Week 7Oct 18[8],2015,-2.0,
365,5,<,6,LSU (1),SEC,6-0,1306,*5,W 35-28 H #8 Florida,Week 7Oct 18[8],2015,2.0,
366,6,<,5,Clemson (1),ACC,6-0,1252,6,W 34-17 H Boston College,Week 7Oct 18[8],2015,0.0,
367,7,<,7,Michigan State,Big Ten,7-0,1202,4,W 27-23 A #12 Michigan,Week 7Oct 18[8],2015,-3.0,
368,8,<,10,Alabama,SEC,6-1,1133,8,W 41-23 A #9 Texas A&M,Week 7Oct 18[8],2015,0.0,
369,9,<,11,Florida State,ACC,6-0,1041,9,W 41-21 H Louisville,Week 7Oct 18[8],2015,3.0,
370,10,<,15,Stanford,Pac-12,5-1,917,11,W 56-35 H #18 UCLA,Week 7Oct 18[8],2015,6.0,
371,11,<,14,Notre Dame,Ind,6-1,898,10,W 41-31 H USC,Week 7Oct 18[8],2015,4.0,
372,12,<,17,Iowa,Big Ten,7-0,820,13,W 40-10 A #20 Northwestern,Week 7Oct 18[8],2015,10.0,
373,13,<,8,Florida,SEC,6-1,785,14,L 35-28 A #6 LSU,Week 7Oct 18[8],2015,-2.0,
374,14,<,16,Oklahoma State,Big 12,6-0,735,12,DNP,Week 7Oct 18[8],2015,7.0,
375,15,<,9,Texas A&M,SEC,5-1,614,16,L 41-23 H #10 Alabama,Week 7Oct 18[8],2015,-6.0,
376,15,<,12,Michigan,Big Ten,5-2,614,17,L 27-23 H #7 Michigan State,Week 7Oct 18[8],2015,3.0,
377,17,<,19,Oklahoma,Big 12,5-1,565,15,W 55-0 A Kansas State,Week 7Oct 18[8],2015,-7.0,
378,18,<,NR,Memphis,AAC,6-0,554,17,W 37-24 H #13 Mississippi,Week 7Oct 18[8],2015,8.0,
379,19,<,22,Toledo,MAC,6-0,346,20,W 63-20 H Eastern Washington,Week 7Oct 18[8],2015,5.0,
380,20,<,23,California,Pac-12,5-1,337,19,DNP,Week 7Oct 18[8],2015,3.0,
381,21,<,24,Houston,AAC,6-0,318,22,W 42-7 A Tulane,Week 7Oct 18[8],2015,5.0,
382,22,<,NR,Temple,AAC,6-0,217,24,W 30-16 H UCF,Week 7Oct 18[8],2015,4.0,
383,23,<,25,Duke,ACC,5-1,211,21,DNP,Week 7Oct 18[8],2015,3.0,
384,24,<,13,Mississippi,SEC,5-2,158,23,L 37-24 A Memphis,Week 7Oct 18[8],2015,-10.0,
385,25,<,NR,Pittsburgh,ACC,5-1,73,RV,W 31-28 A Georgia Tech,Week 7Oct 18[8],2015,1.0,
386,RV,<,NR,Mississippi State,SEC,5-2,63,RV,W 45-20 H Louisiana Tech,Week 7Oct 18[8],2015,0.0,
387,RV,<,NR,BYU,Ind,5-2,21,RV,W 38-24 H Cincinnati,Week 7Oct 18[8],2015,0.0,
388,RV,<,18,UCLA,Pac-12,4-2,18,RV,L 56-35 A #15 Stanford,Week 7Oct 18[8],2015,-6.0,
389,RV,<,NR,North Carolina,ACC,5-1,17,RV,W 50-14 H Wake Forest,Week 7Oct 18[8],2015,0.0,
390,RV,<,NR,Texas Tech,Big 12,5-2,14,RV,W 30-20 A Kansas,Week 7Oct 18[8],2015,0.0,
391,RV,<,NR,Georgia,SEC,5-2,12,25,W 9-6 H Missouri,Week 7Oct 18[8],2015,-7.0,
392,RV,<,NR,Western Kentucky,CUSA,6-1,11,RV,W 55-28 A North Texas,Week 7Oct 18[8],2015,0.0,
393,RV,<,NR,Arizona State,Pac-12,4-3,10,NR,L 34-18 A #4 Utah,Week 7Oct 18[8],2015,0.0,
394,RV,<,NR,Wisconsin,Big Ten,5-2,8,RV,W 24-7 H Purdue,Week 7Oct 18[8],2015,0.0,
395,RV,<,NR,Utah State,MWC,4-2,7,RV,W 52-26 H #21 Boise State,Week 7Oct 18[8],2015,0.0,
396,RV,<,20,Northwestern,Big Ten,5-2,4,RV,L 40-10 H #17 Iowa,Week 7Oct 18[8],2015,-13.0,
397,NR,<,21,Boise State,MWC,5-2,0,RV,L 52-26 A Utah State,Week 7Oct 18[8],2015,-1.0,
398,NR,<,NR,Arizona,Pac-12,5-2,0,RV,W 38-31 A Colorado,Week 7Oct 18[8],2015,0.0,
399,NR,<,NR,Bowling Green,MAC,5-2,0,RV,W 59-10 H Akron,Week 7Oct 18[8],2015,0.0,
400,NR,<,NR,Illinois,Big Ten,4-2,0,RV,DNP,Week 7Oct 18[8],2015,0.0,
401,NR,<,NR,Marshall,CUSA,6-1,0,RV,W 33-17 A Florida Atlantic,Week 7Oct 18[8],2015,0.0,
402,NR,<,NR,Navy,AAC,4-1,0,RV,DNP,Week 7Oct 18[8],2015,0.0,
403,NR,<,NR,Oregon,Pac-12,4-3,0,RV,W 26-20 A Washington,Week 7Oct 18[8],2015,0.0,
404,NR,<,NR,Tennessee,SEC,3-3,0,NR,DNP,Week 7Oct 18[8],2015,0.0,
405,NR,<,NR,USC,Pac-12,3-3,0,NR,L 41-31 A #14 Notre Dame,Week 7Oct 18[8],2015,-9.0,
406,NR,<,NR,Washington State,Pac-12,4-2,0,RV,W 52-31 H Oregon State,Week 7Oct 18[8],2015,0.0,
407,NR,<,NR,West Virginia,Big 12,3-3,0,NR,L 62-38 A #2 Baylor,Week 7Oct 18[8],2015,0.0,
408,1,<,1,Ohio State (39),Big Ten,8-0,1466,*1,W 49-7 A Rutgers,Week 8Oct 25[9],2015,0.0,
409,2,<,2,Baylor (7),Big 12,7-0,1417,*2,W 45-27 H Iowa State,Week 8Oct 25[9],2015,0.0,
410,3,<,6,Clemson (6),ACC,7-0,1378,*6,W 58-0 A Miami (FL),Week 8Oct 25[9],2015,2.0,
411,4,<,5,LSU (5),SEC,7-0,1344,*4,W 48-20 H Western Kentucky,Week 8Oct 25[9],2015,2.0,
412,5,<,4,TCU (3),Big 12,7-0,1327,*3,DNP,Week 8Oct 25[9],2015,-2.0,
413,6,<,7,Michigan State,Big Ten,8-0,1250,5,W 52-26 H Indiana,Week 8Oct 25[9],2015,1.0,
414,7,<,8,Alabama (1),SEC,7-1,1163,7,W 19-14 H Tennessee,Week 8Oct 25[9],2015,3.0,
415,8,<,10,Stanford,Pac-12,6-1,1062,8,W 31-14 H Washington,Week 8Oct 25[9],2015,7.0,
416,9,<,11,Notre Dame,Ind,6-1,997,9,DNP,Week 8Oct 25[9],2015,5.0,
417,10,<,12,Iowa,Big Ten,7-0,934,11,DNP,Week 8Oct 25[9],2015,7.0,
418,11,<,13,Florida,SEC,6-1,867,12,DNP,Week 8Oct 25[9],2015,-3.0,
419,12,<,14,Oklahoma State,Big 12,7-0,864,10,W 58-10 H Kansas,Week 8Oct 25[9],2015,4.0,
420,13,<,3,Utah,Pac-12,6-1,838,14,L 42-24 A USC,Week 8Oct 25[9],2015,-9.0,
421,14,<,17,Oklahoma,Big 12,6-1,697,13,W 63-27 H Texas Tech,Week 8Oct 25[9],2015,5.0,
422,15,<,15,Michigan,Big Ten,5-2,666,17,DNP,Week 8Oct 25[9],2015,-3.0,
423,16,<,18,Memphis,AAC,7-0,660,16,W 66-42 A Tulsa,Week 8Oct 25[9],2015,10.0,
424,17,<,9,Florida State,ACC,6-1,571,15,L 22-16 A Georgia Tech,Week 8Oct 25[9],2015,-6.0,
425,18,<,21,Houston,AAC,7-0,411,19,W 59-10 A UCF,Week 8Oct 25[9],2015,6.0,
426,19,<,24,Mississippi,SEC,6-2,368,21,W 23-3 H #15 Texas A&M,Week 8Oct 25[9],2015,-6.0,
427,20,<,19,Toledo,MAC,7-0,365,20,W 51-35 A Massachusetts,Week 8Oct 25[9],2015,2.0,
428,21,<,22,Temple,AAC,7-0,307,22,W 24-14 A East Carolina,Week 8Oct 25[9],2015,5.0,
429,22,<,23,Duke,ACC,6-1,274,18,W 45-43 (4OT) A Virginia Tech,Week 8Oct 25[9],2015,3.0,
430,23,<,25,Pittsburgh,ACC,6-1,161,24,W 23-20 A Syracuse,Week 8Oct 25[9],2015,3.0,
431,24,<,NR,UCLA,Pac-12,5-2,110,25,W 40-24 H #20 California,Week 8Oct 25[9],2015,-6.0,
432,25,<,NR,Mississippi State,SEC,6-2,103,RV,W 42-16 H Kentucky,Week 8Oct 25[9],2015,1.0,
433,RV,<,15,Texas A&M,SEC,5-2,73,RV,L 23-3 A #24 Mississippi,Week 8Oct 25[9],2015,-17.0,
434,RV,<,NR,North Carolina,ACC,6-1,46,RV,W 26-13 H Virginia,Week 8Oct 25[9],2015,0.0,
435,RV,<,NR,USC,Pac-12,4-3,33,RV,W 42-24 H #3 Utah,Week 8Oct 25[9],2015,0.0,
436,RV,<,NR,BYU,Ind,6-2,18,RV,W 70-6 H Wagner,Week 8Oct 25[9],2015,0.0,
437,RV,<,NR,Georgia,SEC,5-2,17,23,DNP,Week 8Oct 25[9],2015,0.0,
438,RV,<,NR,Wisconsin,Big Ten,6-2,15,RV,W 24-13 A Illinois,Week 8Oct 25[9],2015,0.0,
439,RV,<,NR,Northwestern,Big Ten,6-2,10,RV,W 30-28 A Nebraska,Week 8Oct 25[9],2015,-6.0,
440,RV,<,NR,Appalachian State,Sun Belt,6-1,6,NR,W 31-13 H Georgia Southern,Week 8Oct 25[9],2015,0.0,
441,RV,<,20,California,Pac-12,5-2,5,RV,L 40-24 A UCLA,Week 8Oct 25[9],2015,-3.0,
442,RV,<,NR,Washington State,Pac-12,5-2,2,RV,W 45-42 A Arizona,Week 8Oct 25[9],2015,0.0,
443,NR,<,NR,Arizona State,Pac-12,4-4,0,NR,DNP,Week 8Oct 25[9],2015,0.0,
444,NR,<,NR,Boise State,MWC,6-2,0,RV,W 34-14 H Wyoming,Week 8Oct 25[9],2015,-5.0,
445,NR,<,NR,Georgia Tech,ACC,3-5,0,NR,W 22-16 H #9 Florida State,Week 8Oct 25[9],2015,0.0,
446,NR,<,NR,Marshall,CUSA,7-1,0,RV,W 30-13 H North Texas,Week 8Oct 25[9],2015,0.0,
447,NR,<,NR,Navy,AAC,5-1,0,RV,W 31-14 H Tulane,Week 8Oct 25[9],2015,0.0,
448,NR,<,NR,Oregon,Pac-12,4-3,0,RV,DNP,Week 8Oct 25[9],2015,0.0,
449,NR,<,NR,Tennessee,SEC,3-4,0,NR,L 19-14 A #8 Alabama,Week 8Oct 25[9],2015,0.0,
450,NR,<,NR,West Virginia,Big 12,3-3,0,NR,DNP,Week 8Oct 25[9],2015,0.0,
451,1,<,1,Ohio State (39),Big Ten,8-0,1465,*1,DNP,Week 9Nov 1[10],2015,0.0,3
452,2,<,2,Baylor (6),Big 12,7-0,1408,*2,DNP,Week 9Nov 1[10],2015,0.0,6
453,3,<,3,Clemson (6),ACC,8-0,1381,*5,W 56-41 A NC State,Week 9Nov 1[10],2015,3.0,1
454,4,<,4,LSU (5),SEC,7-0,1346,*4,DNP,Week 9Nov 1[10],2015,1.0,2
455,5,<,5,TCU (4),Big 12,8-0,1336,*3,W 40-10 H West Virginia,Week 9Nov 1[10],2015,-1.0,8
456,6,<,6,Michigan State,Big Ten,8-0,1249,6,DNP,Week 9Nov 1[10],2015,1.0,7
457,7,<,7,Alabama (1),SEC,7-1,1160,7,DNP,Week 9Nov 1[10],2015,1.0,4
458,8,<,9,Notre Dame,Ind,7-1,1019,9,W 24-20 A #21 Temple,Week 9Nov 1[10],2015,3.0,5
459,9,<,8,Stanford,Pac-12,7-1,1014,8,W 30-28 A Washington State,Week 9Nov 1[10],2015,1.0,11
460,10,<,10,Iowa,Big Ten,8-0,954,11,W 31-15 H Maryland,Week 9Nov 1[10],2015,2.0,9
461,11,<,11,Florida,SEC,7-1,923,12,W 27-3 N Georgia,Week 9Nov 1[10],2015,2.0,10
462,12,<,12,Oklahoma State,Big 12,8-0,879,10,W 70-53 A Texas Tech,Week 9Nov 1[10],2015,2.0,14
463,13,<,13,Utah,Pac-12,7-1,809,14,W 27-12 H Oregon State,Week 9Nov 1[10],2015,-10.0,12
464,14,<,14,Oklahoma,Big 12,7-1,712,13,W 62-7 A Kansas,Week 9Nov 1[10],2015,3.0,15
465,15,<,16,Memphis,AAC,8-0,683,16,W 41-13 H Tulane,Week 9Nov 1[10],2015,3.0,13
466,16,<,15,Michigan,Big Ten,6-2,613,17,W 29-26 A Minnesota,Week 9Nov 1[10],2015,-1.0,17
467,17,<,17,Florida State,ACC,7-1,571,15,W 45-21 H Syracuse,Week 9Nov 1[10],2015,-8.0,16
468,18,<,18,Houston,AAC,8-0,466,18,W 34-0 H Vanderbilt,Week 9Nov 1[10],2015,3.0,25
469,19,<,19,Mississippi,SEC,7-2,414,19,W 27-19 A Auburn,Week 9Nov 1[10],2015,5.0,18
