,Rank,Rank.1,Rank.2,Team (FPV),Conf,Rec,Pts,CP,Last Week,Date,Year,3WT,CFP
238,RV,<,NR,Maryland,Big Ten,3-0,2,RV,DNP,Week 4Sep 25[5],2016,0.0,
239,RV,<,NR,Toledo,MAC,3-0,1,RV,DNP,Week 4Sep 25[5],2016,0.0,
240,NR,<,NR,Air Force,MWC,3-0,0,RV,W 27-20 A Utah State,Week 4Sep 25[5],2016,0.0,
241,NR,<,NR,Appalachian State,Sun Belt,2-2,0,NR,W 45-38 A Akron,Week 4Sep 25[5],2016,0.0,
242,NR,<,NR,Kansas State,Big 12,2-1,0,RV,W 35-0 H Missouri State,Week 4Sep 25[5],2016,0.0,
243,NR,<,NR,Minnesota,Big Ten,3-0,0,RV,W 31-24 H Colorado State,Week 4Sep 25[5],2016,0.0,
244,NR,<,NR,Navy,AAC,3-0,0,RV,DNP,Week 4Sep 25[5],2016,0.0,
245,NR,<,NR,Oregon,Pac-12,2-2,0,RV,L 41-38 H Colorado,Week 4Sep 25[5],2016,-4.0,
246,NR,<,NR,South Florida,AAC,3-1,0,NR,L 55-35 H #13 Florida State,Week 4Sep 25[5],2016,0.0,
247,NR,<,NR,Troy,Sun Belt,3-0,0,NR,W 52-6 H New Mexico State,Week 4Sep 25[5],2016,0.0,
248,1,<,1,Alabama (53),SEC,5-0,1514,*1,W 34-6 H Kentucky,Week 5Oct 2[6],2016,0.0,
249,2,<,2,Ohio State (6),Big Ten,4-0,1451,*2,W 58-0 H Rutgers,Week 5Oct 2[6],2016,0.0,
250,3,<,5,Clemson (1),ACC,5-0,1403,*3,W 42-36 H #3 Louisville,Week 5Oct 2[6],2016,2.0,
251,4,<,4,Michigan (1),Big Ten,5-0,1334,4,W 14-7 H #8 Wisconsin,Week 5Oct 2[6],2016,0.0,
252,5,<,10,Washington,Pac-12,5-0,1234,6,W 44-6 H #7 Stanford,Week 5Oct 2[6],2016,4.0,
253,6,<,6,Houston,AAC,5-0,1233,5,W 42-14 H Connecticut,Week 5Oct 2[6],2016,0.0,
254,7,<,3,Louisville,ACC,4-1,1160,8,L 42-36 A #5 Clemson,Week 5Oct 2[6],2016,-4.0,
255,8,<,9,Texas A&M,SEC,5-0,1113,7,W 24-13 A South Carolina,Week 5Oct 2[6],2016,2.0,
256,9,<,11,Tennessee,SEC,5-0,1045,9,W 34-31 A #25 Georgia,Week 5Oct 2[6],2016,5.0,
257,10,<,14,Miami (FL),ACC,4-0,909,10,W 35-21 A Georgia Tech,Week 5Oct 2[6],2016,5.0,
258,11,<,8,Wisconsin,Big Ten,4-1,882,13,L 14-7 A #4 Michigan,Week 5Oct 2[6],2016,0.0,
259,12,<,15,Nebraska,Big Ten,5-0,821,12,W 31-16 H Illinois,Week 5Oct 2[6],2016,8.0,
260,13,<,13,Baylor,Big 12,5-0,805,11,W 45-42 A Iowa State,Week 5Oct 2[6],2016,3.0,
261,14,<,16,Mississippi,SEC,3-2,712,14,W 48-28 H Memphis,Week 5Oct 2[6],2016,9.0,
262,15,<,7,Stanford,Pac-12,3-1,711,15,L 44-6 A #10 Washington,Week 5Oct 2[6],2016,-8.0,
263,16,<,20,Arkansas,SEC,4-1,528,17,W 52-10 H Alcorn State,Week 5Oct 2[6],2016,1.0,
264,17,<,NR,North Carolina,ACC,4-1,497,16,W 37-35 A #12 Florida State,Week 5Oct 2[6],2016,9.0,
265,18,<,23,Florida,SEC,4-1,391,18,W 13-6 A Vanderbilt,Week 5Oct 2[6],2016,1.0,
266,19,<,24,Boise State,MWC,4-0,385,19,W 21-10 H Utah State,Week 5Oct 2[6],2016,7.0,
267,20,<,NR,Oklahoma,Big 12,2-2,324,22,W 52-46 A #21 TCU,Week 5Oct 2[6],2016,5.0,
268,21,<,NR,Colorado,Pac-12,4-1,276,23,W 47-6 H Oregon State,Week 5Oct 2[6],2016,5.0,
269,22,<,NR,West Virginia,Big 12,4-0,240,20,W 17-16 H Kansas State,Week 5Oct 2[6],2016,4.0,
270,23,<,12,Florida State,ACC,3-2,230,21,L 37-35 H North Carolina,Week 5Oct 2[6],2016,-10.0,
271,24,<,18,Utah,Pac-12,4-1,86,24,L 28-23 A California,Week 5Oct 2[6],2016,0.0,
272,25,<,NR,Virginia Tech,ACC,3-1,85,RV,DNP,Week 5Oct 2[6],2016,1.0,
273,RV,<,NR,Western Michigan,MAC,5-0,76,25,W 49-10 H Central Michigan,Week 5Oct 2[6],2016,0.0,
274,RV,<,NR,UCLA,Pac-12,3-2,56,RV,W 45-24 H Arizona,Week 5Oct 2[6],2016,0.0,
275,RV,<,NR,LSU,SEC,3-2,49,RV,W 42-7 H Missouri,Week 5Oct 2[6],2016,-8.0,
276,RV,<,NR,Auburn,SEC,3-2,46,RV,W 58-7 H Louisiana-Monroe,Week 5Oct 2[6],2016,0.0,
277,RV,<,NR,North Dakota State,Other,4-0,46,NR,W 31-10 H Illinois State,Week 5Oct 2[6],2016,0.0,
278,RV,<,25,Georgia,SEC,3-2,42,RV,L 34-31 H #11 Tennessee,Week 5Oct 2[6],2016,-14.0,
279,RV,<,NR,Oklahoma State,Big 12,3-2,41,RV,W 49-31 H #22 Texas,Week 5Oct 2[6],2016,0.0,
280,RV,<,21,TCU,Big 12,3-2,26,RV,L 52-46 H Oklahoma,Week 5Oct 2[6],2016,0.0,
281,RV,<,NR,Maryland,Big Ten,4-0,23,RV,W 50-7 H Purdue,Week 5Oct 2[6],2016,0.0,
282,RV,<,NR,Air Force,MWC,4-0,17,RV,W 28-14 H Navy,Week 5Oct 2[6],2016,0.0,
283,RV,<,19,San Diego State,MWC,3-1,10,RV,L 42-24 A South Alabama,Week 5Oct 2[6],2016,-4.0,
284,RV,<,17,Michigan State,Big Ten,2-2,7,RV,L 24-21 (1OT) A Indiana,Week 5Oct 2[6],2016,-18.0,
285,RV,<,NR,South Florida,AAC,4-1,6,RV,W 45-20 A Cincinnati,Week 5Oct 2[6],2016,0.0,
286,RV,<,NR,Arizona State,Pac-12,4-1,4,RV,L 41-20 A USC,Week 5Oct 2[6],2016,0.0,
287,RV,<,NR,California,Pac-12,3-2,3,RV,W 28-23 H #18 Utah,Week 5Oct 2[6],2016,0.0,
288,RV,<,NR,Indiana,Big Ten,3-1,3,RV,W 24-21 (1OT) H #17 Michigan State,Week 5Oct 2[6],2016,0.0,
289,RV,<,22,Texas,Big 12,2-2,1,NR,L 49-31 A Oklahoma State,Week 5Oct 2[6],2016,-5.0,
290,NR,<,NR,Appalachian State,Sun Belt,3-2,0,RV,W 17-3 H Georgia State,Week 5Oct 2[6],2016,0.0,
291,NR,<,NR,Eastern Michigan,MAC,4-1,0,RV,W 28-25 A Bowling Green,Week 5Oct 2[6],2016,0.0,
292,NR,<,NR,Middle Tennessee,CUSA,4-1,0,RV,W 30-13 A North Texas,Week 5Oct 2[6],2016,0.0,
293,NR,<,NR,Minnesota,Big Ten,3-1,0,RV,L 29-26 (1OT) A Penn State,Week 5Oct 2[6],2016,0.0,
294,NR,<,NR,South Alabama,Sun Belt,3-2,0,RV,W 42-24 H #19 San Diego State,Week 5Oct 2[6],2016,0.0,
295,NR,<,NR,Southern Miss,CUSA,4-1,0,RV,W 44-28 H Rice,Week 5Oct 2[6],2016,0.0,
296,NR,<,NR,Texas Tech,Big 12,3-1,0,RV,DNP,Week 5Oct 2[6],2016,0.0,
297,NR,<,NR,Troy,Sun Belt,4-1,0,RV,W 34-13 A Idaho,Week 5Oct 2[6],2016,0.0,
298,NR,<,NR,USC,Pac-12,2-3,0,RV,W 41-20 H Arizona State,Week 5Oct 2[6],2016,0.0,
299,NR,<,NR,Wake Forest,ACC,4-1,0,RV,L 33-16 A NC State,Week 5Oct 2[6],2016,0.0,
300,1,<,1,Alabama (56),SEC,6-0,1520,*1,W 49-30 A #16 Arkansas,Week 6Oct 10[7],2016,0.0,
301,2,<,2,Ohio State (2),Big Ten,5-0,1444,*2,W 38-17 H Indiana,Week 6Oct 10[7],2016,0.0,
302,3,<,3,Clemson (2),ACC,6-0,1406,*3,W 56-10 A Boston College,Week 6Oct 10[7],2016,2.0,
303,4,<,4,Michigan (1),Big Ten,6-0,1339,4,W 78-0 A Rutgers,Week 6Oct 10[7],2016,0.0,
304,5,<,5,Washington,Pac-12,6-0,1286,5,W 70-21 A Oregon,Week 6Oct 10[7],2016,5.0,
305,6,<,8,Texas A&M,SEC,6-0,1202,6,W 45-38 (2OT) H #9 Tennessee,Week 6Oct 10[7],2016,3.0,
306,7,<,7,Louisville,ACC,4-1,1193,7,DNP,Week 6Oct 10[7],2016,-4.0,
307,8,<,11,Wisconsin,Big Ten,4-1,1020,10,DNP,Week 6Oct 10[7],2016,0.0,
308,9,<,9,Tennessee,SEC,5-1,962,11,L 45-38 (2OT) A #8 Texas A&M,Week 6Oct 10[7],2016,2.0,
309,10,<,12,Nebraska,Big Ten,5-0,958,9,DNP,Week 6Oct 10[7],2016,5.0,
310,11,<,13,Baylor,Big 12,5-0,934,8,DNP,Week 6Oct 10[7],2016,2.0,
311,12,<,14,Mississippi,SEC,3-2,800,13,DNP,Week 6Oct 10[7],2016,4.0,
312,13,<,6,Houston,AAC,5-1,701,12,L 46-40 A Navy,Week 6Oct 10[7],2016,-7.0,
313,14,<,23,Florida State,ACC,4-2,628,16,W 20-19 A #10 Miami (FL),Week 6Oct 10[7],2016,-2.0,
314,15,<,19,Boise State,MWC,5-0,590,15,W 49-21 A New Mexico,Week 6Oct 10[7],2016,9.0,
315,16,<,10,Miami (FL),ACC,4-1,576,17,L 20-19 H #23 Florida State,Week 6Oct 10[7],2016,-2.0,
316,17,<,25,Virginia Tech,ACC,4-1,546,19,W 34-3 A #17 North Carolina,Week 6Oct 10[7],2016,9.0,
317,18,<,18,Florida,SEC,4-1,483,14,DNP,Week 6Oct 10[7],2016,5.0,
318,19,<,20,Oklahoma,Big 12,3-2,476,20,W 45-40 N Texas,Week 6Oct 10[7],2016,7.0,
319,20,<,22,West Virginia,Big 12,4-0,424,18,DNP,Week 6Oct 10[7],2016,6.0,
320,21,<,24,Utah,Pac-12,5-1,287,21,W 36-23 H Arizona,Week 6Oct 10[7],2016,-3.0,
321,22,<,16,Arkansas,SEC,4-2,203,22,L 49-30 H #1 Alabama,Week 6Oct 10[7],2016,-2.0,
322,23,<,NR,Auburn,SEC,4-2,166,RV,W 38-14 A Mississippi State,Week 6Oct 10[7],2016,3.0,
323,24,<,NR,Western Michigan,MAC,6-0,154,23,W 45-30 H Northern Illinois,Week 6Oct 10[7],2016,2.0,
324,25,<,NR,Navy,AAC,4-1,122,RV,W 46-40 H #6 Houston,Week 6Oct 10[7],2016,1.0,
325,RV,<,NR,Georgia,SEC,4-2,59,RV,W 28-14 A South Carolina,Week 6Oct 10[7],2016,-1.0,
326,RV,<,NR,Arizona State,Pac-12,5-1,53,24,W 23-20 H UCLA,Week 6Oct 10[7],2016,0.0,
327,RV,<,17,North Carolina,ACC,4-2,51,RV,L 34-3 H #25 Virginia Tech,Week 6Oct 10[7],2016,0.0,
328,RV,<,NR,LSU,SEC,3-2,50,25,DNP,Week 6Oct 10[7],2016,0.0,
329,RV,<,NR,Oklahoma State,Big 12,4-2,48,RV,W 38-31 H Iowa State,Week 6Oct 10[7],2016,0.0,
330,RV,<,NR,North Dakota State,Other,5-0,36,NR,W 27-3 A Missouri State,Week 6Oct 10[7],2016,0.0,
331,RV,<,15,Stanford,Pac-12,3-2,26,RV,L 42-16 H Washington State,Week 6Oct 10[7],2016,-19.0,
332,RV,<,21,Colorado,Pac-12,4-2,22,RV,L 21-17 A USC,Week 6Oct 10[7],2016,0.0,
333,RV,<,NR,South Florida,AAC,5-1,20,RV,W 38-22 H East Carolina,Week 6Oct 10[7],2016,0.0,
334,RV,<,NR,TCU,Big 12,4-2,14,RV,W 24-23 A Kansas,Week 6Oct 10[7],2016,-5.0,
335,RV,<,NR,NC State,ACC,4-1,9,RV,W 10-3 H Notre Dame,Week 6Oct 10[7],2016,0.0,
336,RV,<,NR,Washington State,Pac-12,3-2,9,RV,W 42-16 A #15 Stanford,Week 6Oct 10[7],2016,0.0,
337,RV,<,NR,Iowa,Big Ten,4-2,3,NR,W 14-7 A Minnesota,Week 6Oct 10[7],2016,0.0,
338,RV,<,NR,Air Force,MWC,4-1,2,NR,L 35-26 A Wyoming,Week 6Oct 10[7],2016,0.0,
339,RV,<,NR,San Diego State,MWC,4-1,2,RV,W 26-7 H UNLV,Week 6Oct 10[7],2016,-7.0,
340,RV,<,NR,Wake Forest,ACC,5-1,1,RV,W 28-9 H Syracuse,Week 6Oct 10[7],2016,0.0,
341,NR,<,NR,Appalachian State,Sun Belt,3-2,0,RV,DNP,Week 6Oct 10[7],2016,0.0,
342,NR,<,NR,Memphis,AAC,4-1,0,RV,W 34-27 H Temple,Week 6Oct 10[7],2016,0.0,
343,NR,<,NR,Middle Tennessee,CUSA,4-1,0,RV,DNP,Week 6Oct 10[7],2016,0.0,
344,NR,<,NR,Penn State,Big Ten,4-2,0,RV,W 38-14 H Maryland,Week 6Oct 10[7],2016,0.0,
345,NR,<,NR,Pittsburgh,ACC,4-2,0,RV,W 37-34 H Georgia Tech,Week 6Oct 10[7],2016,0.0,
346,NR,<,NR,South Alabama,Sun Belt,3-2,0,RV,DNP,Week 6Oct 10[7],2016,0.0,
347,NR,<,NR,Troy,Sun Belt,4-1,0,RV,DNP,Week 6Oct 10[7],2016,0.0,
348,NR,<,NR,Tulsa,AAC,4-1,0,RV,W 43-40 H SMU,Week 6Oct 10[7],2016,0.0,
349,NR,<,NR,USC,Pac-12,3-3,0,RV,W 21-17 H #21 Colorado,Week 6Oct 10[7],2016,0.0,
350,1,<,1,Alabama (60),SEC,7-0,1524,*1,W 49-10 A #9 Tennessee,Week 7Oct 16[8],2016,0.0,
351,2,<,2,Ohio State,Big Ten,6-0,1457,*2,W 30-23 (1OT) A #8 Wisconsin,Week 7Oct 16[8],2016,0.0,
352,3,<,4,Michigan (1),Big Ten,6-0,1368,4,DNP,Week 7Oct 16[8],2016,1.0,
353,4,<,3,Clemson,ACC,7-0,1337,*3,W 24-17 (1OT) H NC State,Week 7Oct 16[8],2016,-1.0,
354,5,<,5,Washington,Pac-12,6-0,1304,5,DNP,Week 7Oct 16[8],2016,0.0,
355,6,<,6,Texas A&M,SEC,6-0,1218,6,DNP,Week 7Oct 16[8],2016,2.0,
356,7,<,7,Louisville,ACC,5-1,1168,7,W 24-14 H Duke,Week 7Oct 16[8],2016,0.0,
357,8,<,10,Nebraska,Big Ten,6-0,1037,9,W 27-22 A Indiana,Week 7Oct 16[8],2016,4.0,
358,9,<,11,Baylor,Big 12,6-0,1021,8,W 49-7 H Kansas,Week 7Oct 16[8],2016,4.0,
359,10,<,8,Wisconsin,Big Ten,4-2,935,10,L 30-23 (1OT) H #2 Ohio State,Week 7Oct 16[8],2016,1.0,
360,11,<,13,Houston,AAC,6-1,766,11,W 38-31 H Tulsa,Week 7Oct 16[8],2016,-5.0,
361,12,<,20,West Virginia,Big 12,5-0,744,13,W 48-17 A Texas Tech,Week 7Oct 16[8],2016,10.0,
362,13,<,14,Florida State,ACC,5-2,733,15,W 17-6 H Wake Forest,Week 7Oct 16[8],2016,10.0,
363,14,<,15,Boise State,MWC,6-0,694,14,W 28-23 H Colorado State,Week 7Oct 16[8],2016,5.0,
364,15,<,18,Florida,SEC,5-1,626,12,W 40-14 H Missouri,Week 7Oct 16[8],2016,3.0,
365,16,<,19,Oklahoma,Big 12,4-2,612,16,W 38-17 H Kansas State,Week 7Oct 16[8],2016,4.0,
366,17,<,22,Arkansas,SEC,5-2,584,17,W 34-30 H #12 Mississippi,Week 7Oct 16[8],2016,-1.0,
367,18,<,9,Tennessee,SEC,5-2,550,19,L 49-10 H #1 Alabama,Week 7Oct 16[8],2016,-9.0,
368,19,<,21,Utah,Pac-12,6-1,479,18,W 19-14 A Oregon State,Week 7Oct 16[8],2016,5.0,
369,20,<,24,Western Michigan,MAC,7-0,285,20,W 41-0 A Akron,Week 7Oct 16[8],2016,6.0,
370,21,<,23,Auburn,SEC,4-2,277,24,DNP,Week 7Oct 16[8],2016,5.0,
371,22,<,NR,North Carolina,ACC,5-2,254,21,W 20-13 A #16 Miami (FL),Week 7Oct 16[8],2016,-5.0,
372,23,<,12,Mississippi,SEC,3-3,188,22,L 34-30 A #22 Arkansas,Week 7Oct 16[8],2016,-9.0,
373,24,<,25,Navy,AAC,4-1,163,25,DNP,Week 7Oct 16[8],2016,2.0,
374,25,<,NR,LSU,SEC,4-2,123,23,W 45-10 H Southern Miss,Week 7Oct 16[8],2016,1.0,
375,RV,<,NR,Colorado,Pac-12,5-2,110,RV,W 40-16 H Arizona State,Week 7Oct 16[8],2016,-5.0,
376,RV,<,16,Miami (FL),ACC,4-2,69,RV,L 20-13 H North Carolina,Week 7Oct 16[8],2016,-16.0,
377,RV,<,NR,Oklahoma State,Big 12,4-2,47,RV,DNP,Week 7Oct 16[8],2016,0.0,
378,RV,<,NR,Washington State,Pac-12,4-2,39,RV,W 27-21 H UCLA,Week 7Oct 16[8],2016,0.0,
379,RV,<,17,Virginia Tech,ACC,4-2,38,RV,L 31-17 A Syracuse,Week 7Oct 16[8],2016,-1.0,
380,RV,<,NR,South Florida,AAC,6-1,31,RV,W 42-27 H Connecticut,Week 7Oct 16[8],2016,0.0,
381,RV,<,NR,Stanford,Pac-12,4-2,15,RV,W 17-10 A Notre Dame,Week 7Oct 16[8],2016,-11.0,
382,RV,<,NR,Iowa,Big Ten,5-2,7,RV,W 49-35 A Purdue,Week 7Oct 16[8],2016,0.0,
383,RV,<,NR,Arizona State,Pac-12,5-2,6,RV,L 40-16 A Colorado,Week 7Oct 16[8],2016,0.0,
384,RV,<,NR,USC,Pac-12,4-3,5,RV,W 48-14 A Arizona,Week 7Oct 16[8],2016,0.0,
385,RV,<,NR,NC State,ACC,4-2,4,RV,L 24-17 (1OT) A #3 Clemson,Week 7Oct 16[8],2016,0.0,
386,RV,<,NR,San Diego State,MWC,5-1,3,RV,W 17-3 A Fresno State,Week 7Oct 16[8],2016,0.0,
387,RV,<,NR,Pittsburgh,ACC,5-2,2,RV,W 45-31 A Virginia,Week 7Oct 16[8],2016,0.0,
388,RV,<,NR,TCU,Big 12,4-2,1,RV,DNP,Week 7Oct 16[8],2016,0.0,
389,RV,<,NR,Troy,Sun Belt,5-1,1,RV,W 31-21 H Georgia State,Week 7Oct 16[8],2016,0.0,
390,NR,<,NR,Appalachian State,Sun Belt,4-2,0,RV,W 24-0 A Louisiana-Lafayette,Week 7Oct 16[8],2016,0.0,
391,NR,<,NR,BYU,Ind,4-3,0,RV,W 28-21 (2OT) H Mississippi State,Week 7Oct 16[8],2016,0.0,
392,NR,<,NR,Memphis,AAC,5-1,0,RV,W 24-14 A Tulane,Week 7Oct 16[8],2016,0.0,
393,NR,<,NR,Tulsa,AAC,4-2,0,RV,L 38-31 A #13 Houston,Week 7Oct 16[8],2016,0.0,
394,1,<,1,Alabama (60),SEC,8-0,1524,*1,W 33-14 H #6 Texas A&M,Week 8Oct 23[9],2016,0.0,
395,2,<,3,Michigan (1),Big Ten,7-0,1446,2,W 41-8 H Illinois,Week 8Oct 23[9],2016,2.0,
396,3,<,4,Clemson,ACC,7-0,1382,*3,DNP,Week 8Oct 23[9],2016,0.0,
397,4,<,5,Washington,Pac-12,7-0,1373,4,W 41-17 H Oregon State,Week 8Oct 23[9],2016,1.0,
398,5,<,7,Louisville,ACC,6-1,1276,5,W 54-13 H NC State,Week 8Oct 23[9],2016,2.0,
399,6,<,2,Ohio State,Big Ten,6-1,1143,8,L 24-21 A Penn State,Week 8Oct 23[9],2016,-4.0,
400,7,<,8,Nebraska,Big Ten,7-0,1083,6,W 27-14 H Purdue,Week 8Oct 23[9],2016,3.0,
401,8,<,9,Baylor,Big 12,6-0,1063,6,DNP,Week 8Oct 23[9],2016,3.0,
402,9,<,6,Texas A&M,SEC,6-1,1007,10,L 33-14 A #1 Alabama,Week 8Oct 23[9],2016,-3.0,
403,10,<,12,West Virginia,Big 12,6-0,997,9,W 34-10 H TCU,Week 8Oct 23[9],2016,10.0,
404,11,<,10,Wisconsin,Big Ten,5-2,980,11,W 17-9 A Iowa,Week 8Oct 23[9],2016,-3.0,
405,12,<,13,Florida State,ACC,5-2,725,14,DNP,Week 8Oct 23[9],2016,2.0,
406,13,<,14,Boise State,MWC,7-0,716,13,W 28-27 H BYU,Week 8Oct 23[9],2016,2.0,
407,14,<,15,Florida,SEC,5-1,654,12,DNP,Week 8Oct 23[9],2016,4.0,
408,15,<,21,Auburn,SEC,5-2,641,17,W 56-3 H #17 Arkansas,Week 8Oct 23[9],2016,8.0,
409,16,<,16,Oklahoma,Big 12,5-2,626,15,W 66-59 A Texas Tech,Week 8Oct 23[9],2016,3.0,
410,17,<,19,Utah,Pac-12,7-1,584,16,W 52-45 A UCLA,Week 8Oct 23[9],2016,4.0,
411,18,<,18,Tennessee,SEC,5-2,572,18,DNP,Week 8Oct 23[9],2016,-9.0,
412,19,<,25,LSU,SEC,5-2,352,19,W 38-21 H #23 Mississippi,Week 8Oct 23[9],2016,7.0,
413,20,<,20,Western Michigan,MAC,8-0,349,21,W 45-31 H Eastern Michigan,Week 8Oct 23[9],2016,4.0,
414,21,<,22,North Carolina,ACC,6-2,328,20,W 35-14 A Virginia,Week 8Oct 23[9],2016,5.0,
415,22,<,24,Navy,AAC,5-1,251,22,W 42-28 H Memphis,Week 8Oct 23[9],2016,3.0,
416,23,<,NR,Colorado,Pac-12,6-2,207,23,W 10-5 A Stanford,Week 8Oct 23[9],2016,3.0,
417,24,<,NR,Penn State,Big Ten,5-2,193,RV,W 24-21 H #2 Ohio State,Week 8Oct 23[9],2016,2.0,
418,25,<,NR,Virginia Tech,ACC,5-2,110,25,W 37-16 H Miami (FL),Week 8Oct 23[9],2016,-8.0,
419,RV,<,NR,Washington State,Pac-12,5-2,84,RV,W 37-32 A Arizona State,Week 8Oct 23[9],2016,0.0,
420,RV,<,11,Houston,AAC,6-2,67,24,L 38-16 A SMU,Week 8Oct 23[9],2016,-13.0,
421,RV,<,NR,Oklahoma State,Big 12,5-2,62,RV,W 44-20 A Kansas,Week 8Oct 23[9],2016,0.0,
422,RV,<,17,Arkansas,SEC,5-3,14,RV,L 56-3 A #21 Auburn,Week 8Oct 23[9],2016,-4.0,
423,RV,<,NR,Troy,Sun Belt,6-1,6,RV,W 28-21 A South Alabama,Week 8Oct 23[9],2016,0.0,
424,RV,<,NR,USC,Pac-12,4-3,5,RV,DNP,Week 8Oct 23[9],2016,0.0,
425,RV,<,NR,Pittsburgh,ACC,5-2,2,RV,DNP,Week 8Oct 23[9],2016,0.0,
426,RV,<,NR,San Diego State,MWC,6-1,2,RV,W 42-3 H San Jose State,Week 8Oct 23[9],2016,0.0,
427,RV,<,NR,SMU,AAC,3-4,1,NR,W 38-16 H #11 Houston,Week 8Oct 23[9],2016,0.0,
428,NR,<,23,Mississippi,SEC,3-4,0,RV,L 38-21 A #25 LSU,Week 8Oct 23[9],2016,-14.0,
429,NR,<,NR,Appalachian State,Sun Belt,5-2,0,RV,W 37-19 H Idaho,Week 8Oct 23[9],2016,0.0,
430,NR,<,NR,Miami (FL),ACC,4-3,0,RV,L 37-16 A Virginia Tech,Week 8Oct 23[9],2016,-10.0,
431,NR,<,NR,Middle Tennessee,CUSA,5-2,0,RV,W 51-45 A Missouri,Week 8Oct 23[9],2016,0.0,
432,NR,<,NR,South Florida,AAC,6-2,0,RV,L 46-30 A Temple,Week 8Oct 23[9],2016,0.0,
433,NR,<,NR,Tulsa,AAC,5-2,0,RV,W 50-27 H Tulane,Week 8Oct 23[9],2016,0.0,
434,NR,<,NR,Wyoming,MWC,5-2,0,RV,W 42-34 A Nevada,Week 8Oct 23[9],2016,0.0,
435,1,<,1,Alabama (60),SEC,8-0,1524,*1,DNP,Week 9Oct 30[10],2016,0.0,1
436,2,<,2,Michigan (1),Big Ten,8-0,1435,2,W 32-23 A Michigan State,Week 9Oct 30[10],2016,1.0,3
437,3,<,3,Clemson,ACC,8-0,1401,*3,W 37-34 A #12 Florida State,Week 9Oct 30[10],2016,1.0,2
438,4,<,4,Washington,Pac-12,8-0,1369,4,W 31-24 A #17 Utah,Week 9Oct 30[10],2016,1.0,5
439,5,<,5,Louisville,ACC,7-1,1262,5,W 32-25 A Virginia,Week 9Oct 30[10],2016,2.0,7
440,6,<,6,Ohio State,Big Ten,7-1,1207,6,W 24-20 H Northwestern,Week 9Oct 30[10],2016,-4.0,6
441,7,<,9,Texas A&M,SEC,7-1,1150,7,W 52-10 H New Mexico State,Week 9Oct 30[10],2016,-1.0,4
442,8,<,11,Wisconsin,Big Ten,6-2,1122,8,W 23-17 (1OT) H #7 Nebraska,Week 9Oct 30[10],2016,2.0,8
443,9,<,7,Nebraska,Big Ten,7-1,951,10,L 23-17 (1OT) A #11 Wisconsin,Week 9Oct 30[10],2016,-1.0,10
444,10,<,14,Florida,SEC,6-1,929,9,W 24-10 N Georgia,Week 9Oct 30[10],2016,5.0,11
445,11,<,15,Auburn,SEC,6-2,927,12,W 40-29 A Mississippi,Week 9Oct 30[10],2016,10.0,9
446,12,<,16,Oklahoma,Big 12,6-2,835,11,W 56-3 H Kansas,Week 9Oct 30[10],2016,4.0,14
447,13,<,8,Baylor,Big 12,6-1,693,13,L 35-34 A Texas,Week 9Oct 30[10],2016,-4.0,17
448,14,<,10,West Virginia,Big 12,6-1,620,15,L 37-20 A Oklahoma State,Week 9Oct 30[10],2016,-2.0,20
449,15,<,19,LSU,SEC,5-2,586,14,DNP,Week 9Oct 30[10],2016,10.0,13
450,16,<,17,Utah,Pac-12,7-2,506,16,L 31-24 H #4 Washington,Week 9Oct 30[10],2016,3.0,16
451,17,<,20,Western Michigan,MAC,8-0,481,18,DNP,Week 9Oct 30[10],2016,3.0,23
452,18,<,21,North Carolina,ACC,6-2,423,17,DNP,Week 9Oct 30[10],2016,4.0,21
453,19,<,12,Florida State,ACC,5-3,409,19,L 37-34 H #3 Clemson,Week 9Oct 30[10],2016,-6.0,22
454,20,<,24,Penn State,Big Ten,6-2,390,23,W 62-24 A Purdue,Week 9Oct 30[10],2016,4.0,12
455,21,<,23,Colorado,Pac-12,6-2,375,20,DNP,Week 9Oct 30[10],2016,5.0,15
456,22,<,NR,Oklahoma State,Big 12,6-2,355,22,W 37-20 H #10 West Virginia,Week 9Oct 30[10],2016,4.0,18
457,23,<,25,Virginia Tech,ACC,6-2,345,21,W 39-36 A Pittsburgh,Week 9Oct 30[10],2016,3.0,19
458,24,<,13,Boise State,MWC,7-1,203,24,L 30-28 A Wyoming,Week 9Oct 30[10],2016,-10.0,24
459,25,<,NR,Washington State,Pac-12,6-2,139,25,W 35-31 A Oregon State,Week 9Oct 30[10],2016,1.0,25
460,RV,<,NR,Houston,AAC,7-2,65,RV,W 31-24 H UCF,Week 9Oct 30[10],2016,-15.0,NR
461,RV,<,NR,USC,Pac-12,5-3,40,RV,W 45-24 H California,Week 9Oct 30[10],2016,0.0,NR
462,RV,<,NR,San Diego State,MWC,7-1,21,RV,W 40-13 A Utah State,Week 9Oct 30[10],2016,0.0,NR
463,RV,<,NR,Troy,Sun Belt,6-1,20,RV,DNP,Week 9Oct 30[10],2016,0.0,NR
464,RV,<,18,Tennessee,SEC,5-3,17,RV,L 24-21 A South Carolina,Week 9Oct 30[10],2016,-8.0,NR
465,RV,<,NR,South Florida,AAC,7-2,10,RV,W 52-45 H #22 Navy,Week 9Oct 30[10],2016,0.0,NR
466,RV,<,NR,Arkansas,SEC,5-3,7,RV,DNP,Week 9Oct 30[10],2016,-9.0,NR
467,RV,<,NR,Wyoming,MWC,6-2,5,RV,W 30-28 H #13 Boise State,Week 9Oct 30[10],2016,0.0,NR
